Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C18, C19, C2, C20, C21, C22, C24, C25, C27, C3, C30, C31, C32, C33, C36, C37, C4, C44, C45, C48, C49, C5, C50, C51, C52, C53, C54, C55, C65, C66, C67, C70, C90",0603,35,100n,
"C10, C11, C12, C16, C23, C29, C6, C68, C71, C94, C95, C96, C97, C98, C99",0603,15,1u,
"C100, C56, C57, C58, C59, C60, C61, C62, C63, C64, C73, C74, C75, C76, C77, C78, C80, C81, C82, C83, C86, C87",0402,22,100n,
"C13, C14",0402,2,24p,
C17,0603,1,4.7u,
"C26, C28",0603,2,2.2u,
"C34, C35, C39, C42, C72, C79, C85, C89, C92",CP_EIA-3216-18_Kemet-A,9,10u 16V,
"C38, C41",0603,2,1n,
"C40, C43",0603,2,3.9n,
"C46, C47",0402,2,30p,
"C69, C88",0603,2,4.7n,
"C7, C8, C9",0402,3,180p,
"C84, C93",CP_EIA-3528-21_Kemet-B,2,22u 16V,
C91,0402,1,100p,
"D1, D2, D4, D5",0603,4,LED,
D3,LED_D5.0mm-4_RGB,1,LED_RGBK,
F1,0603,1,2A,
"FB1, FB2, FB3, FB4",0603,4,BLM18KG121TN1D,
IC1,SOP50P1176X120-86N,1,IS42S32400F-6TL-TR,
IC2,QFN50P1000X1000X90-73N-D,1,SII9022ACNU,
J1,CUI_RCJ-014,1,RCJ-014,
J10,AMPHENOL_10029449-111RLF,1,HDMI_A_1.4,
J11,BarrelJack_CUI_PJ-036AH-SMT_Horizontal,1,Barrel_Jack_MountingPin,
J2,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,53047-0210,
J3,MOLEX_530470310,1,530470310,
J4,PinHeader_1x02_P2.54mm_Vertical,1,PINHD_1x2_Male,
J8,CONN_3220-10-0100-00_CNC,1,3220-10-0100-00,
J9,AMPHENOL_UE27AC5410H,1,UE27AC5410H,
L1,1008,1,2.2u,
"MK1, MK2",InvenSense_ICS-43434-6_3.5x2.65mm,2,ICS-43434,
Q1,SOT-23,1,BSS138,
"R1, R17, R2, R21, R23",0603,5,0,
R10,0603,1,15k,
R11,0603,1,27k,
R12,0603,1,18k,
R13,0603,1,6.8k,
"R14, R16, R18, R24, R25, R26, R27",0402,7,33,
"R15, R22, R3, R40, R41, R42, R46, R47, R53, R7, R8",0603,11,10k,
"R19, R20, R32, R36, R50",0603,5,4.7k,
"R28, R29, R39, R81",0603,4,470,
"R30, R34, R51, R52, R73",0603,5,2.2k,
"R31, R35",0603,2,5.1k,
"R33, R37, R9",0603,3,1k,
R38,0603,1,2.2M,
"R4, R5",0603,2,39,
"R43, R44, R45, R82",0603,4,330,
"R48, R67",0603,2,470k,
R49,0603,1,4.3k 1%,
"R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R68, R69, R70, R71, R72, R74, R75, R76, R77, R78, R79",0201,24,33,
R6,0603,1,100k,
R80,0603,1,47,
"R83, R84, R85, R86, R87, R88, R89, R90",0402,8,1k,
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,
"SW3, SW4",SW_Push_1P1T_NO_CK_KSC7xxJ,2,Push_Button_W12mm,
TP1,TestPoint_Keystone_5000-5004_Miniature,1,HSYNC,
TP10,TestPoint_Keystone_5000-5004_Miniature,1,VBIAS,
TP11,TestPoint_Keystone_5000-5004_Miniature,1,L_IN,
TP12,TestPoint_Keystone_5000-5004_Miniature,1,R_IN,
TP13,TestPoint_Keystone_5000-5004_Miniature,1,MK_XIN,
TP14,TestPoint_Keystone_5000-5004_Miniature,1,MK_XOUT,
TP15,TestPoint_Keystone_5000-5004_Miniature,1,DSCL,
TP16,TestPoint_Keystone_5000-5004_Miniature,1,DSDA,
TP17,TestPoint_Keystone_5000-5004_Miniature,1,5V,
TP18,TestPoint_Keystone_5000-5004_Miniature,1,3V3,
TP19,TestPoint_Keystone_5000-5004_Miniature,1,1V8,
TP2,TestPoint_Keystone_5000-5004_Miniature,1,VSYNC,
"TP20, TP21, TP22",TestPoint_Keystone_5010-5014_Multipurpose,3,GND,
TP23,TestPoint_Keystone_5000-5004_Miniature,1,1V2,
TP3,TestPoint_Keystone_5000-5004_Miniature,1,AVID,
TP4,TestPoint_Keystone_5000-5004_Miniature,1,FID,
TP5,TestPoint_Keystone_5000-5004_Miniature,1,VBLK,
TP6,TestPoint_Keystone_5000-5004_Miniature,1,CAM_X1,
TP7,TestPoint_Keystone_5000-5004_Miniature,1,CAM_X2,
TP8,TestPoint_Keystone_5000-5004_Miniature,1,OSD_IN,
TP9,TestPoint_Keystone_5000-5004_Miniature,1,OSD_OUT,
U1,SOT95P232X110-3N,1,MIC803-29D2VM3TR,MIC803-29D2VM3TR
U10,SSOP-8_2.95x2.8mm_P0.65mm,1,74LVC1404,
U11,SOIC-14_3.9x8.7mm_P1.27mm,1,74LV393,
U12,SOT-353_SC-70-5,1,74LVC1G86,
U13,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JVSS,
U14,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-WMN,
"U15, U16, U17, U18, U19",SOIC-16_3.9x9.9mm_P1.27mm,5,74LV595,
"U2, U4",SOT-23-5,2,74LVC1G08,
U20,PSON50P145X100X60-6N,1,TPD4S012DRYR,
U21,SOT-223-3_TabPin2,1,AZ1117-3.3,
U22,SOT-23-5,1,MIC5504-1.8YM5,
U23,SOT-23-5,1,MIC5504-1.2YM5,
U3,PBS32,1,TVP5150AM1PBSR,
U5,RSV16_TEX,1,TMUX1208RSVR,
U6,LQFP-100_14x14mm_P0.5mm,1,STM32H7B0VBTx,
U7,SSOP-16_3.9x4.9mm_P0.635mm,1,PCM1780,
U8,DUALRCA,1,RCJ-2223,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA2356xxD,
X1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,ECS-TXO-2520MV-500-AN-TR,
X2,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASEKDVAIG-32.768KHZ-KC-T3,
Y1,XTAL_ABLS2-14.31818MHZ-D4Y-T,1,14.31818MHz,
Y2,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,1,11.2896 MHz,
